"대구광역시","경상북도",47895,1763,49300,5211,44922,1335,45035,2259,51852,4808,46900,3072,41444,1939,41714,2483,42744,2499,45417,6904,45117,734,47632,9072,37784,315
"대구광역시","경상남도",9521,177,8821,-67,8965,207,8941,298,9374,889,8922,263,8313,-715,7704,-942,7684,-917,8115,8,8214,-1096,8040,-220,6926,-1199
"대구광역시","제주특별자치도",631,22,643,95,773,149,847,227,1061,430,1317,583,1394,571,1631,628,1571,539,1423,417,1361,279,1402,275,1290,162
"인천광역시","전국",458439,-3612,470758,-28809,440872,-27794,439578,-22035,442973,-9324,463685,-9538,435869,-5777,411135,1670,433706,67,422351,2337,460304,15748,421714,-11423,367039,-28101
"인천광역시","서울특별시",35670,-10412,33008,-18633,32216,-17424,33017,-14407,34380,-8832,33570,-11345,32486,-11259,32528,-7957,32415,-8818,34760,-3811,38409,-1466,34346,-10513,32387,-11500
"인천광역시","부산광역시",2738,-492,3213,-528,2691,-489,2677,-309,3088,-55,2930,-255,2616,-476,2620,-374,2107,-795,2165,-890,2381,-599,2150,-608,2026,-683
"인천광역시","대구광역시",1628,-340,1585,-415,1702,-277,1795,-407,1734,-281,1691,-296,1551,-411,1590,-340,1502,-466,1542,-548,1577,-535,1399,-615,1452,-497
"인천광역시","인천광역시",303966,0,325441,0,297979,0,297446,0,295375,0,314622,0,290783,0,266394,0,287236,0,276081,0,297626,0,277313,0,239919,0
"인천광역시","광주광역시",2492,237,1979,-176,1884,-273,1939,-170,2007,-3,1894,-273,1762,-318,1518,-482,1451,-542,1349,-686,1543,-344,1422,-549,1340,-466
"인천광역시","대전광역시",2589,-173,2820,38,2873,61,2673,11,2736,115,2756,240,2616,153,2552,94,2263,-314,2359,-208,2476,-118,2407,-104,2262,-207
"인천광역시","울산광역시",949,-40,1081,113,1116,71,1289,235,1083,-2,1359,110,1080,-55,962,-71,778,-317,757,-442,793,-260,840,-175,747,-309
"인천광역시","세종특별자치시",-,-,-,-,597,333,592,280,990,668,1496,1045,1398,861,1265,633,1125,354,1186,285,1117,216,1038,261,894,117
"인천광역시","경기도",71031,3118,65332,-13392,65127,-11603,63331,-11148,65903,-5651,66353,-5160,66764,900,67838,6041,72932,9571,70868,8195,81497,16788,67980,-2228,56161,-17098
"인천광역시","강원도",5808,716,5695,696,5339,-68,5573,502,5549,401,5904,846,5598,518,5396,733,5125,293,5190,594,5544,1191,5421,901,4843,840
"인천광역시","충청북도",4347,874,3952,524,4167,543,4172,743,4210,753,4624,1115,4303,995,4051,635,4191,797,3999,536,4268,883,4140,768,3905,655
"인천광역시","충청남도",9985,2544,9332,2118,8591,1411,8752,1959,8964,2180,9101,2465,8728,2321,8730,2479,8194,1829,7671,1072,8102,1327,8302,1666,7572,1645
"인천광역시","전라북도",4379,535,4347,360,3987,-88,3577,-294,3745,157,3581,186,3756,341,3502,-14,3087,-637,2970,-697,3321,-453,3122,-130,2776,-249
"인천광역시","전라남도",4257,68,4023,57,3725,-94,3751,269,3848,291,3876,380,3523,-14,3205,-261,3089,-420,3227,-208,3242,-296,3112,-107,2802,-26
"인천광역시","경상북도",3833,-487,4217,46,4200,157,3944,171,3950,12,3982,209,3589,32,3352,-136,3173,-489,3274,-391,3394,-428,3563,-6,3175,-236
"인천광역시","경상남도",3515,65,3501,204,3242,-386,3330,-23,3470,204,3670,206,2941,-326,2919,-471,2712,-567,2700,-771,2719,-689,2817,-501,2602,-387
"인천광역시","제주특별자치도",1252,175,1232,179,1436,332,1720,553,1941,719,2276,989,2375,961,2713,1161,2326,588,2253,307,2295,531,2342,517,2176,300
"광주광역시","전국",265043,-3531,259282,-1279,230437,1825,229288,2592,246043,2977,233875,9272,221074,7898,216256,8118,225108,6216,221005,3875,232246,6083,218771,5883,190566,7642
"광주광역시","서울특별시",12642,1547,11917,1330,11811,1657,10964,1835,11518,1759,10860,1644,10432,2078,10561,2629,10859,3481,10727,3713,11232,4054,10330,3185,9773,3614
"광주광역시","부산광역시",1283,-55,1206,-123,1447,17,1157,110,1667,-189,1418,223,1264,164,1135,62,1117,106,1102,110,1182,40,1128,-11,1033,26
"광주광역시","대구광역시",536,9,572,-5,668,-43,676,54,746,-156,547,-82,577,30,647,132,614,65,545,-30,555,-69,568,-62,541,12
"광주광역시","인천광역시",2255,-237,2155,176,2157,273,2109,170,2010,3,2167,273,2080,318,2000,482,1993,542,2035,686,1887,344,1971,549,1806,466
"광주광역시","광주광역시",183496,0,179871,0,152570,0,155265,0,164321,0,150777,0,145582,0,142174,0,149703,0,149352,0,158517,0,148167,0,127466,0
"광주광역시","대전광역시",1633,121,1705,444,1575,445,1610,363,1665,417,1481,160,1537,448,1383,357,1475,340,1389,298,1519,369,1350,226,1458,406
